type,name,size,i,time,verification
search,linear,1,0,0.000009,1
search,linear,1,1,0.000008,1
search,linear,1,2,0.000006,1
search,linear,1,3,0.000004,1
search,linear,1,4,0.000005,1
search,linear,1,5,0.000004,1
search,linear,1,6,0.000005,1
search,linear,1,7,0.000004,1
search,linear,1,8,0.000005,1
search,linear,1,9,0.000004,1
search,linear,2,0,0.000005,1
search,linear,2,1,0.000005,1
search,linear,2,2,0.000004,1
search,linear,2,3,0.000004,1
search,linear,2,4,0.000005,1
search,linear,2,5,0.000004,1
search,linear,2,6,0.000005,1
search,linear,2,7,0.000006,1
search,linear,2,8,0.000006,1
search,linear,2,9,0.000005,1
search,linear,4,0,0.000007,1
search,linear,4,1,0.000006,1
search,linear,4,2,0.000006,1
search,linear,4,3,0.000007,1
search,linear,4,4,0.000007,1
search,linear,4,5,0.000007,1
search,linear,4,6,0.000007,1
search,linear,4,7,0.000006,1
search,linear,4,8,0.000007,1
search,linear,4,9,0.000006,1
search,linear,8,0,0.000008,1
search,linear,8,1,0.000007,1
search,linear,8,2,0.000007,1
search,linear,8,3,0.000007,1
search,linear,8,4,0.000008,1
search,linear,8,5,0.000007,1
search,linear,8,6,0.000007,1
search,linear,8,7,0.000007,1
search,linear,8,8,0.000007,1
search,linear,8,9,0.000006,1
search,linear,16,0,0.000009,1
search,linear,16,1,0.000007,1
search,linear,16,2,0.000009,1
search,linear,16,3,0.000009,1
search,linear,16,4,0.000009,1
search,linear,16,5,0.000008,1
search,linear,16,6,0.000009,1
search,linear,16,7,0.000008,1
search,linear,16,8,0.000008,1
search,linear,16,9,0.000007,1
search,linear,32,0,0.000010,1
search,linear,32,1,0.000010,1
search,linear,32,2,0.000013,1
search,linear,32,3,0.000019,1
search,linear,32,4,0.000011,1
search,linear,32,5,0.000010,1
search,linear,32,6,0.000009,1
search,linear,32,7,0.000009,1
search,linear,32,8,0.000009,1
search,linear,32,9,0.000018,1
search,linear,64,0,0.000014,1
search,linear,64,1,0.000021,1
search,linear,64,2,0.000010,1
search,linear,64,3,0.000022,1
search,linear,64,4,0.000014,1
search,linear,64,5,0.000008,1
search,linear,64,6,0.000023,1
search,linear,64,7,0.000022,1
search,linear,64,8,0.000013,1
search,linear,64,9,0.000022,1
search,linear,128,0,0.000011,1
search,linear,128,1,0.000019,1
search,linear,128,2,0.000018,1
search,linear,128,3,0.000010,1
search,linear,128,4,0.000018,1
search,linear,128,5,0.000015,1
search,linear,128,6,0.000020,1
search,linear,128,7,0.000027,1
search,linear,128,8,0.000026,1
search,linear,128,9,0.000018,1
search,linear,256,0,0.000032,1
search,linear,256,1,0.000032,1
search,linear,256,2,0.000031,1
search,linear,256,3,0.000027,1
search,linear,256,4,0.000040,1
search,linear,256,5,0.000033,1
search,linear,256,6,0.000021,1
search,linear,256,7,0.000031,1
search,linear,256,8,0.000041,1
search,linear,256,9,0.000041,1
search,linear,512,0,0.000064,1
search,linear,512,1,0.000073,1
search,linear,512,2,0.000072,1
search,linear,512,3,0.000024,1
search,linear,512,4,0.000074,1
search,linear,512,5,0.000054,1
search,linear,512,6,0.000065,1
search,linear,512,7,0.000059,1
search,linear,512,8,0.000055,1
search,linear,512,9,0.000050,1
search,linear,1024,0,0.000080,1
search,linear,1024,1,0.000108,1
search,linear,1024,2,0.000051,1
search,linear,1024,3,0.000106,1
search,linear,1024,4,0.000105,1
search,linear,1024,5,0.000031,1
search,linear,1024,6,0.000049,1
search,linear,1024,7,0.000032,1
search,linear,1024,8,0.000107,1
search,linear,1024,9,0.000098,1
search,linear,2048,0,0.000226,1
search,linear,2048,1,0.000171,1
search,linear,2048,2,0.000205,1
search,linear,2048,3,0.000231,1
search,linear,2048,4,0.000193,1
search,linear,2048,5,0.000191,1
search,linear,2048,6,0.000193,1
search,linear,2048,7,0.000190,1
search,linear,2048,8,0.000098,1
