type,name,size,i,time,verification
search,linear,1,0,0.000008,1
search,linear,1,1,0.000009,1
search,linear,1,2,0.000007,1
search,linear,1,3,0.000006,1
search,linear,1,4,0.000008,1
search,linear,1,5,0.000008,1
search,linear,1,6,0.000006,1
search,linear,1,7,0.000007,1
search,linear,1,8,0.000006,1
search,linear,1,9,0.000007,1
search,linear,2,0,0.000008,1
search,linear,2,1,0.000008,1
search,linear,2,2,0.000006,1
search,linear,2,3,0.000007,1
search,linear,2,4,0.000007,1
search,linear,2,5,0.000007,1
search,linear,2,6,0.000007,1
search,linear,2,7,0.000007,1
search,linear,2,8,0.000007,1
search,linear,2,9,0.000007,1
search,linear,4,0,0.000007,1
search,linear,4,1,0.000008,1
search,linear,4,2,0.000007,1
search,linear,4,3,0.000008,1
search,linear,4,4,0.000008,1
search,linear,4,5,0.000007,1
search,linear,4,6,0.000007,1
search,linear,4,7,0.000007,1
search,linear,4,8,0.000006,1
search,linear,4,9,0.000005,1
search,linear,8,0,0.000009,1
search,linear,8,1,0.000007,1
search,linear,8,2,0.000006,1
search,linear,8,3,0.000007,1
search,linear,8,4,0.000007,1
search,linear,8,5,0.000007,1
search,linear,8,6,0.000007,1
search,linear,8,7,0.000007,1
search,linear,8,8,0.000007,1
search,linear,8,9,0.000008,1
search,linear,16,0,0.000005,1
search,linear,16,1,0.000008,1
search,linear,16,2,0.000006,1
search,linear,16,3,0.000008,1
search,linear,16,4,0.000006,1
search,linear,16,5,0.000006,1
search,linear,16,6,0.000008,1
search,linear,16,7,0.000007,1
search,linear,16,8,0.000008,1
search,linear,16,9,0.000009,1
search,linear,32,0,0.000007,1
search,linear,32,1,0.000009,1
search,linear,32,2,0.000011,1
search,linear,32,3,0.000010,1
search,linear,32,4,0.000007,1
search,linear,32,5,0.000011,1
search,linear,32,6,0.000011,1
search,linear,32,7,0.000008,1
search,linear,32,8,0.000008,1
search,linear,32,9,0.000008,1
search,linear,64,0,0.000010,1
search,linear,64,1,0.000008,1
search,linear,64,2,0.000007,1
search,linear,64,3,0.000010,1
search,linear,64,4,0.000010,1
search,linear,64,5,0.000010,1
search,linear,64,6,0.000008,1
search,linear,64,7,0.000014,1
search,linear,64,8,0.000011,1
search,linear,64,9,0.000011,1
search,linear,128,0,0.000008,1
search,linear,128,1,0.000016,1
search,linear,128,2,0.000017,1
search,linear,128,3,0.000016,1
search,linear,128,4,0.000014,1
search,linear,128,5,0.000012,1
search,linear,128,6,0.000013,1
search,linear,128,7,0.000014,1
search,linear,128,8,0.000015,1
search,linear,128,9,0.000022,1
search,linear,256,0,0.000016,1
search,linear,256,1,0.000012,1
search,linear,256,2,0.000025,1
search,linear,256,3,0.000017,1
search,linear,256,4,0.000014,1
search,linear,256,5,0.000018,1
search,linear,256,6,0.000011,1
search,linear,256,7,0.000011,1
search,linear,256,8,0.000012,1
search,linear,256,9,0.000013,1
search,linear,512,0,0.000009,1
search,linear,512,1,0.000016,1
search,linear,512,2,0.000011,1
search,linear,512,3,0.000013,1
search,linear,512,4,0.000014,1
search,linear,512,5,0.000021,1
search,linear,512,6,0.000013,1
search,linear,512,7,0.000026,1
search,linear,512,8,0.000014,1
search,linear,512,9,0.000013,1
search,linear,1024,0,0.000017,1
search,linear,1024,1,0.000020,1
search,linear,1024,2,0.000019,1
search,linear,1024,3,0.000031,1
